"Number","skills","Month_Exper"
"1143","JMX","0"
"1143","RMI","0"
"1143","Jboss","0"
"1143","Red Hat Linux","0"
"1143","MySQL 5.0","0"
"1145","","0"
"1146","","0"
"1147","","0"
"1151","","0"
"1152","","0"
"1154","","0"
"1155","","220"
"1157","","120"
"1159","","4"
"1160","","88"
"1161","","132"
"1162","","0"
"1163","","24"
"1164","","48"
"1166","","0"
"1167","","0"
"1168","","0"
"1169","","120"
"1170","","248"
"1171","","0"
"1172","","112"
"1175","","0"
"1176","","42"
"1177","","17"
"1179","","0"
"1181","","0"
"1182","","0"
"1183","","0"
"1186","","0"
"1187","","0"
"1189","","0"
"1191","","48"
"1192","Standards: ITSM","109"
"1192","ITIL","109"
"1192","BPMN","109"
"1192","PMBOK","109"
"1192","COBIT","109"
"1192","MS Project","109"
"1192","VPN","109"
"1192","DNS","109"
"1192","DHCP","109"
"1192","Win AD","109"
"1192","MS SQL","109"
"1193","","108"
"1194","","0"
"1195","","0"
"1197","","0"
"1199","","0"
"1200","","0"
"1201","","109"
"1202","","98"
"1203","","52"
"1204","","12"
"1206","","72"
"1210","","0"
"1214","","117"
"1217","","128"
"1218","","156"
"1219","","55"
"1220","","48"
"1222","","347"
"1228","","0"
"1229","","16"
"1230","","149"
"1234","","50"
"1237","","0"
"1238","","0"
"1239","","48"
"1240","","12"
"1241","","91"
"1242","","1"
"1243","","33"
"1245","","26"
"1247","","42"
"1248","","0"
"1249","","0"
"1250","","0"
"1251","","143"
"1253","","0"
"1255","","0"
"1256","","19"
"1257","","0"
"1258","","0"
"1260","","0"
"1261","","0"
"1263","","0"
"1264","","0"
"1265","","0"
"1268","","0"
"1269","","0"
"1270","","0"
"1272","","0"
"1273","VS 2003","124"
"1273","C#","124"
"1273","ASP.NET","124"
"1273","MS SQL 2000","124"
"1273","Macromedia Cold Fusion (CFML)","124"
"1273","MySQL","124"
"1273","1C6","124"
"1273","1C7.7","124"
"1273","1C8","124"
"1273","VS 2005","124"
"1273","VS 2010","124"
"1273","MS SQL 2008 R2","124"
"1273","Sencha ExtJS 4","124"
"1273","JS","124"
"1273","SVN","124"
"1273","Jira","124"
"1273","Cruise Control","124"
"1273","Entity Framework","124"
"1273","Linq","124"
"1273","WPF","124"
"1273","ASP.NET MVC 2","124"
"1273","Resharper","124"
"1273","Unit tests","124"
"1273","OpenXml SDK 2","124"
"1273","XML","124"
"1273","VS 2008","124"
"1273","MS SQL 2005","124"
"1273","Component Art","124"
"1273","Surround SCM","124"
"1274","","36"
"1277","","1"
"1278","","0"
"1280","","0"
